,Topic,Count,Name,Representation,Representative_Docs
132,131,17,131_vulnerable_impressionable_disjointed_pleasing,"['vulnerable', 'impressionable', 'disjointed', 'pleasing', 'vulnerability', 'manipulated', 'interestingly', 'depends', 'info', 'refused']","['i ever want to feel that vulnerable', 'i know i feel vulnerable', 'i feel more vulnerable']"
133,132,17,132_scent_smell_fresh_figs,"['scent', 'smell', 'fresh', 'figs', 'fragrance', 'smells', 'certain', 'nostalgic', 'heat', 'expected']","['i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly', 'i feel like i smell this scent all over taiwan quite frequently in cute coffee shop bathrooms', 'i spray it all over my body during afternoons to beat the heat because its refreshing doesnt sting unlike regular baby colognes and the fresh scent is very energizing just the thing i need to keep me from feeling drained and lazy in this intense heat']"
134,133,17,133_jaded_presentations_stpm_numbness,"['jaded', 'presentations', 'stpm', 'numbness', 'discussion', 'screen', 'sigh', 'bit', 'point', 'mixed']","['im feeling so jaded right now', 'ive been feeling so jaded', 'i feel more jaded']"
135,134,17,134_popular_becomes_exactly_forefront,"['popular', 'becomes', 'exactly', 'forefront', 'branding', 'hobbs', 'hu', 'jia', 'dick', 'toby']","['i feel kinda popular', 'i never feel that popular', 'i feel popular today']"
136,135,17,135_funny_humorous_jokes_amused,"['funny', 'humorous', 'jokes', 'amused', 'decribe', 'gona', 'debates', 'noob', 'humour', 'absurdity']","['i feel a bit funny actually', 'i feel all funny sometimes', 'i still feel funny']"
137,136,16,136_isolated_mum_athe_solitude,"['isolated', 'mum', 'athe', 'solitude', 'roads', 'shonas', 'introvert', 'gerry', 'galley', 'whale']","['i feel very isolated from my family so it is really important to me to meet people', 'i feel isolated as a stay at home mum shonas story notes d athe only negative for me is that i feel isolated as a stay at home mum', 'i do feel more isolated since i started working']"
138,137,16,137_rotten_remind_swell_spoil,"['rotten', 'remind', 'swell', 'spoil', 'eat', 'ambitious', 'cloud', 'abou', 'pretending', 'intentions']","['i feel like im rotten and empty inside', 'im feeling rotten just talking about it', 'i be made to feel rotten']"
139,138,16,138_sociable_aaaah_depends_colleagues,"['sociable', 'aaaah', 'depends', 'colleagues', 'anymore', 'wasnt', 'drugs', 'bar', 'wise', 'extreme']","['i feel like being sociable anymore', 'i feel more sociable these days', 'i have a feeling that its too sociable']"
140,139,16,139_sorry_you_leaving_cesspool,"['sorry', 'you', 'leaving', 'cesspool', 'amma', 'pervert', 'evar', 'californians', 'bad', 'bc']","['i know how you feel i m sorry you feel like that', 'i know how you feel and im sorry', 'i do feel sorry for you']"
141,140,16,140_hair_using_brand_perhaps,"['hair', 'using', 'brand', 'perhaps', 'ash', 'damp', 'harvest', 'hairstyle', 'sulfate', 'restores']","['i was having a horrible day and decided i would only feel better if i didnt have red hair anymore so i immedietly went to wal mart and found a box of hair color with the description soft dark brown', 'i think my hair is feeling confused', 'i first started using this i did not like it because i felt like it made my hair feel very dirty even though i had just washed my hair']"
142,141,16,141_assaulted_dangerous_why_mind,"['assaulted', 'dangerous', 'why', 'mind', 'pain', 'abused', 'net', 'ceiling', 'maligned', 'pulp']","['i have my own mind and i feel like my mind is dangerous to my life', 'i am always so sensitive and my every sense feels like it is being assaulted as i drag myself away from the darkness', 'i walk in a conventional classroom my senses feel assaulted by all the stuff on the walls hanging from the ceiling and covering all the surfaces']"
143,142,16,142_rebellious_argued_legally_caged,"['rebellious', 'argued', 'legally', 'caged', 'romcoms', 'itd', 'smoke', 'guess', 'start', 'basically']","['i feel rebellious and think let them do so', 'i guess im just feeling a little rebellious', 'im just feeling rebellious']"
144,143,16,143_worthwhile_mba_mission_career,"['worthwhile', 'mba', 'mission', 'career', 'company', 'level', 'conduct', 'memset', 'missions', 'enlist']","['i said sir i feel from real time company experience that mba would be more valuable for my career than gate since most work now a days in it companies now is support based', 'i feel it is a worthwhile item to me or within my company s mission', 'i just don t feel that the others are worthwhile']"
145,144,16,144_embarrassed_alteration_dvred_immune,"['embarrassed', 'alteration', 'dvred', 'immune', 'preview', 'rewind', 'unsophisticated', 'contribution', 'commercials', 'dawn']","['i didnt really feel that embarrassed', 'i feel embarrassed by it', 'i feel so embarrassed']"
146,145,15,145_valued_valuable_them_stripped,"['valued', 'valuable', 'them', 'stripped', 'vastly', 'underappreciated', 'superpowers', 'crone', 'hear', 'underpaid']","['i feel less valued cause i dont look good', 'i want or need to hear to make me feel valued', 'i asked some girls what it meant to them to be valued and for the most part the response was that they felt valued when the people around them made them feel valued and treated them in a loving and caring manner']"
147,146,15,146_fabrics_yarn_sewing_knit,"['fabrics', 'yarn', 'sewing', 'knit', 'fabric', 'project', 'stash', 'socks', 'clothing', 'cheaply']","['i try to only buy fabrics that i would use in a project or that i feel are really fab', 'i ventured into fabrics amp fabrics on a whim yesterday feeling a bit nervous knowing i would be tempted beyond my comfor', 'i also like to knit but dont do it as intensely as when i was nowadays i mostly knit socks which gives me the feeling that watching tv isnt that useless because i can knit while watching a film or series']"
148,147,15,147_longing_core_desire_conveyed,"['longing', 'core', 'desire', 'conveyed', 'intimacy', 'liverpool', 'subdue', 'vault', 'oak', 'lifetime']","['i feel a longing for i have no idea what if it was ever even there', 'im meant to feel longing', 'i don t feel that longing']"
149,148,15,148_tender_bites_excercising_flex,"['tender', 'bites', 'excercising', 'flex', 'scabbed', 'unhealed', 'cowboy', 'disoriented', 'prep', 'rugby']","['i feel tender just now and i am fine with that', 'i do feel tender', 'i just feel tender']"
150,149,15,149_photos_pictures_photo_images,"['photos', 'pictures', 'photo', 'images', 'front', 'retired', 'rugmi', 'persuade', 'prejudging', 'coverage']","['i could almost be tempted to carry on doing photography only together as it worked so well but i feel that my aching back and nervous system will persuade me to remain as a retired wedding photographer', 'ive heard a lot of folks share frustrations with feeling inadequate after seeing so many pictures of perfection in projects and homes through blogs and pinterest etc', 'i dont have any photos with me because i was too excited and happy about my prejudging which i did great btw at least i feel tt i did since i felt confident and didnt stutter in front the panel of judges we had and dearest bf was around after doors opened for the public']"
151,150,14,150_excited_closer_agenda_shockingly,"['excited', 'closer', 'agenda', 'shockingly', 'multiplayer', 'gestating', 'soley', 'wildly', 'pumped', 'flash']","['i am feeling pretty excited about this', 'i feel so excited about it', 'im feeling excited about it']"
152,151,14,151_suspicious_instincts_broads_credentials,"['suspicious', 'instincts', 'broads', 'credentials', 'informality', 'rely', 'suspicions', 'trusting', 'rapture', 'intuition']","['im not feeling anything suspicious really', 'im feeling a bit suspicious', 'i feel a little suspicious']"
153,152,14,152_discontent_ways_grudgingly_sails,"['discontent', 'ways', 'grudgingly', 'sails', 'lonley', 'covetousnes', 'pessimism', 'destructive', 'fb', 'manifesting']","['i just feel so discontent about my life these days', 'i have no feelings of discontent', 'i feel very discontent right now']"
154,153,14,153_useful_fundamental_reward_curiosity,"['useful', 'fundamental', 'reward', 'curiosity', 'achievement', 'minor', 'rewarded', 'serves', 'spark', 'vertigo']","['i feel useful giving in what i do', 'i am feeling all useful', 'i feel more useful']"
155,154,14,154_irritable_symptom_withdraw_suppress,"['irritable', 'symptom', 'withdraw', 'suppress', 'tiring', 'unfulfilled', 'significant', 'sensible', 'hardest', 'mix']","['i feel that now i am a lot less irritable than i was before', 'im feeling slightly irritable today', 'i feeling irritable']"
156,155,14,155_pressured_fe_constrained_bullet,"['pressured', 'fe', 'constrained', 'bullet', 'dumb', 'thankfully', 'obligated', 'insecurities', 'don', 'behave']","['i don t want them to feel so pressured', 'i always feel so pressured', 'i was feeling very pressured']"
157,156,14,156_paranoid_aol_defriended_laundering,"['paranoid', 'aol', 'defriended', 'laundering', 'affair', 'verizon', 'noticable', 'ure', 'ruin', 'judging']","['i feel so paranoid i don t want to feel like i did back then ever again', 'i dont know what it is but i have been feeling less paranoid', 'i remember feeling paranoid']"
158,157,14,157_rushed_prize_este_dilute,"['rushed', 'prize', 'este', 'dilute', 'givings', 'timetable', 'asa', 'planned', 'emails', 'ludicrous']","['i feel like we rushed through this weekend', 'i feel like it was a bit rushed', 'i feel too rushed']"
159,158,14,158_skin_moisturizer_oily_lovely,"['skin', 'moisturizer', 'oily', 'lovely', 'oil', 'moisturising', 'gel', 'use', 'improve', 'product']","['i said at the beginning i have combination oily skin but i still use this around once a week because my skin feels absolutely gorgeous the morning after applying it', 'i feel like there isnt any dirty oil left on my skin after using this to clog my pores or make my skin oily towards the end of the day', 'im the type who doesnt use a moisturizer as my skin is too oily so this product is designed to contain a ton of moisturizing ingredients that will make my skin feel lovely without oils']"
160,159,14,159_dazed_confused_sort_alarming,"['dazed', 'confused', 'sort', 'alarming', 'eyed', 'getin', 'mousekins', 'disbelieving', 'sipping', 'listeners']","['i woke up feeling dazed and confused', 'i started feeling dazed', 'im feeling more than a little dazed']"
161,160,14,160_triumphant_overhead_overhear_ringtone,"['triumphant', 'overhead', 'overhear', 'ringtone', 'geeks', 'arguments', 'humbling', 'victory', 'sucker', 'tune']","['i am feeling triumphant today', 'i feel was pretty triumphant', 'i will feel triumphant']"
162,161,14,161_shaken_anaesthetic_downstairs_goose,"['shaken', 'anaesthetic', 'downstairs', 'goose', 'jo', 'bucket', 'waved', 'strictly', 'unfair', 'dd']","['i feel shaken and scared', 'i have to admit i feel shaken up', 'i feel a bit shaken though']"
163,162,13,162_successful_tasting_destinys_bucks,"['successful', 'tasting', 'destinys', 'bucks', 'fulfilled', 'independent', 'porn', 'achieving', 'industry', 'la']","['i want to enjoy this and feel successful', 'i do feel very successful right now', 'im feeling today i was successful']"
164,163,13,163_troubled_counseling_suicidal_drift,"['troubled', 'counseling', 'suicidal', 'drift', 'anythings', 'exaggerating', 'trivial', 'massively', 'matters', 'excuse']","['i can t help but feel troubled by this', 'i feel troubled over', 'i just feel troubled']"
165,164,13,164_would_unjustified_nurturing_stab,"['would', 'unjustified', 'nurturing', 'stab', 'stoned', 'knowingly', 'violent', 'wronged', 'charge', 'everybody']","['i would stay in charge thereby helping z to feel safe yet at the same time be nurturing and loving', 'i am asleep i would feel no pain but that violent act would be completely unjustified all the same', 'i would not knowingly wound the feelings of any not even one who may have wronged me but would seek to do him good and make him my friend']"
166,165,13,165_petty_reacting_thoughts_things,"['petty', 'reacting', 'thoughts', 'things', 'fluttering', 'fleshed', 'rediculous', 'pisses', 'unhappiness', 'horrid']","['i am feeling very petty right now', 'i kind of feel a little petty about this', 'i don t feel petty']"
167,166,13,166_disturbed_sweeney_descriptions_camera,"['disturbed', 'sweeney', 'descriptions', 'camera', 'hears', 'appropriately', 'tons', 'todd', 'cringe', 'ad']","['i feel disturbed and sad', 'i feel without being disturbed by it', 'i feel disturbed today']"
168,167,13,167_casual_hr_dylan_easi,"['casual', 'hr', 'dylan', 'easi', 'datey', 'nonchalant', 'assumed', 'outing', 'safer', 'fandom']","['i wasnt feeling casual much', 'i was feeling quite casual that day', 'i didnt feel too much it was just casual']"
169,168,13,168_indecisive_crazily_polling_xs,"['indecisive', 'crazily', 'polling', 'xs', 'scares', 'spontaneous', 'impulsive', 'childish', 'yall', 'unkind']","['i hate feeling that im so indecisive', 'im feeling indecisive about what to do', 'i feel very indecisive about it']"
170,169,13,169_pathetic_confronted_intercessor_desperation,"['pathetic', 'confronted', 'intercessor', 'desperation', 'loser', 'hello', 'pretty', 'desperate', 'unable', 'describe']","['i feel pathetic at times because', 'i feel pretty pathetic most of the time', 'i feel pretty pathetic right now']"
171,170,13,170_damaged_goods_earplugs_seeming,"['damaged', 'goods', 'earplugs', 'seeming', 'dis', 'frustrating', 'witnessing', 'permanently', 'forgetting', 'apparent']","['i almost feel damaged some how', 'i am feeling rather damaged', 'i feel so damaged']"
172,171,13,171_jolly_cool_cryin_jacynthe,"['jolly', 'cool', 'cryin', 'jacynthe', 'gerling', 'commercialism', 'rupaul', 'scissor', 'lookin', 'qaf']","['im not feeling the jolly this year though', 'im not feeling jolly in the least', 'i feel pretty jolly']"
173,172,12,172_naughty_snooping_snuck_species,"['naughty', 'snooping', 'snuck', 'species', 'taboo', 'nomming', 'compellingly', 'bucks', 'traitor', 'unusual']","['i feel a bit like a naughty child because i wasn t sure i d do a post today', 'i feel naughty just being this girls friend', 'im feeling kind of naughty']"
174,173,12,173_frantic_studio_walk_frantically,"['frantic', 'studio', 'walk', 'frantically', 'shiver', 'soaking', 'gripped', 'spine', 'startling', 'timing']","['i am already feeling frantic', 'i do not feel frantic', 'i was feeling frantic']"
175,174,12,174_lucky_luck_celebrates_clover,"['lucky', 'luck', 'celebrates', 'clover', 'competent', 'cursing', 'eid', 'stumbled', 'family', 'leaf']","['i didn t and still don t feel lucky though', 'i feel lucky that they found it and i feel lucky that i have such competent folks taking care of me', 'i can t help feeling lucky little do i know']"
176,175,12,175_smug_planning_nodded_procure,"['smug', 'planning', 'nodded', 'procure', 'sum', 'viewpoint', 'rounded', 'justification', 'december', 'hardships']","['i asked feeling smug', 'im actually feeling a little smug', 'i am feeling quite smug']"
177,176,12,176_charity_help_causes_families,"['charity', 'help', 'causes', 'families', 'passionate', 'consumerism', 'canteen', 'inequality', 'charitable', 'donations']","['i am raising funds for the jag foundation jointly achieving growth a charity that i feel extremely passionate about', 'i remember when this was all feels the most generous place for charitable donations in the uk is andover thats the last sodding time im having dinner here at the nuclear plant staff canteen', 'i was still looking out for good causes that i feel passionate about to volunteer and again last year when a friend introduced me to an organization that packs food rations for needy families']"
178,177,12,177_depressed_spiraling_intervene_despondent,"['depressed', 'spiraling', 'intervene', 'despondent', 'seat', 'thoughts', 'staring', 'drove', 'beside', 'depression']","['i stop feeling so depressed and', 'im feeling depressed again', 'i feel depressed again']"
179,178,11,178_disheartened_outsider_crazy_late,"['disheartened', 'outsider', 'crazy', 'late', 'trust', 'defeated', 'boring', 'words', 'wasnt', 'whole']","['i feel so disheartened now', 'i feel a little disheartened', 'i feel disheartened about that']"
180,179,11,179_outraged_morally_appalled_governor,"['outraged', 'morally', 'appalled', 'governor', 'michigans', 'daughters', 'coulter', 'yorks', 'outrage', 'prostitutes']","['i feel equally morally outraged regardless of whether its michigans or new yorks governor sleeping with prostitutes behind his wifes and daughters backs', 'i know now makes me feel outraged', 'i can t even feel outraged by it']"
181,180,11,180_conference_impressed_coach_app,"['conference', 'impressed', 'coach', 'app', 'commented', 'barcomb', 'boe', 'gunk', 'ia', 'ecker']","['i had been talking to coach claudia barcomb and coach ali boe for a long time and they both made me feel very welcomed at union', 'i got off in my previous post about how much the app maker leeches upset me at this conference and so i feel like i should mention who i was most impressed with there', 'i didnt feel as if i was supporting the whole conference but as i pulled gunk out of the drain in one of these sinks i wondered whether the folks who once again came through to make the conference work might be feeling some frustration if they didnt do the work nothing would be done']"
182,181,11,181_positive_ambulatory_costs_desp,"['positive', 'ambulatory', 'costs', 'desp', 'assumptions', 'savings', 'wholly', 'thirty', 'eaten', 'brighter']","['im now on day two of the plan and im feeling positive', 'im feeling a little bit more positive now as things were quite hard at first as my savings were eaten up quickly with costs and i didnt want to become a burden to my boyfriend but weve come out the other end and im feeling brighter and more inspired about things to come', 'im trying to be positive and i feel positive']"
183,182,11,182_calm_minutes_permeates_reigns,"['calm', 'minutes', 'permeates', 'reigns', 'definiteness', 'crunk', 'ticking', 'remarkably', 'protected', 'clarity']","['i feel fairly calm', 'i feel a bit calm now', 'i feel the calm']"
184,183,11,183_dogs_dog_animals_they,"['dogs', 'dog', 'animals', 'they', 'chewie', 'disclaimer', 'preface', 'seized', 'neighbourhood', 'fervent']","['i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home', 'im just feeling relieved to have picked up our boy before they shut the place down and seized the dogs and happy to have gotten him out of there', 'i have learned how much more like a neighbourhood this place feels the humans with dogs have been very sympathetic and understand my quixotic need to walk a dog to walk period']"
185,184,11,184_dirty_disgust_perspiring_unconformable,"['dirty', 'disgust', 'perspiring', 'unconformable', 'bin', 'muddy', 'streets', 'sought', 'talking', 'trash']","['i cant help but feel like im doing something dirty', 'im feeling a little dirty', 'i feel so dirty']"
186,185,11,185_apprehensive_snowboarding_meantime_apathetic,"['apprehensive', 'snowboarding', 'meantime', 'apathetic', 'ride', 'opening', 'picked', 'shouldn', 'notice', 'door']","['i am feeling a little apprehensive about the whole thing', 'i started to feel apprehensive about it', 'i feel very apprehensive']"
187,186,11,186_hotel_fancy_furniture_clinic,"['hotel', 'fancy', 'furniture', 'clinic', 'room', 'lively', 'baffroom', 'cushions', 'alight', 'amenities']","['ive stayed at a few of the trendier hotel in north america and some have a tendency to feel cool and unfriendly', 'im supposed to stay in the lively room but as an explorer i feel that the lively room simply does not have enuff to offer me and have decided to move on to the stairs bedrooms and baffroom', 'i first entered the clinic i feel very welcomed by the beautiful ivory themed furnitures because the whole clinic look very clean spacious and professional and the cheerful consultants awaiting for me at the reception with a smile of course']"
188,187,11,187_feelings_suppressed_began_boundary,"['feelings', 'suppressed', 'began', 'boundary', 'homosexual', 'dissolve', 'prohibited', 'projecting', 'needed', 'internal']","['i had suppressed my homosexual feelings so much that i replaced them with what i thought would be socially acceptable', 'i have found both in my own life and from coaching hundreds of people during the past years that one of the main things that makes it hard for us to make good decisions is our feelings especially the unpleasant ones such as sadness rejection fear etc', 'i finally allowed my feelings up and accepted them and myself the internal boundary began to dissolve i began to see how i was projecting my suppressed feelings out and creating a lot of pain in and around me']"
189,188,11,188_devastated_suppressing_absoloutely_devastating,"['devastated', 'suppressing', 'absoloutely', 'devastating', 'hmmm', 'tear', 'unhealthy', 'rush', 'potentially', 'habit']","['i don t like it when i hmmm feel devastated then i try to be driven towards things that are potentially more devastating just so i can forget about that thing that has devastated me first', 'im feeling pretty devastated', 'i like feeling devastated']"
190,189,11,189_burdened_figuratively_heap_rant,"['burdened', 'figuratively', 'heap', 'rant', 'holy', 'literally', 'by', 'expectations', 'lighter', 'lie']","['i feel burdened by the desire to do something but what can we do', 'i feel less burdened in a way', 'i feel burdened by it']"
191,190,10,190_satisfied_content_fulfilled_powers,"['satisfied', 'content', 'fulfilled', 'powers', 'performance', 'results', 'standing', 'practice', 'choices', 'complacent']","['i just didn t end feeling satisfied', 'i just feel very satisfied and content', 'i feel satisfied with it']"
192,191,10,191_bothered_sor_poo_topic,"['bothered', 'sor', 'poo', 'topic', 'isn', 'honest', 'boy', 'couldnt', 'irritated', 'don']","['i think ive just been feeling a little bothered', 'im not the one who feel bothered about this', 'i feel bothered']"
193,192,10,192_saturday_wednesday_sunday_night,"['saturday', 'wednesday', 'sunday', 'night', 'arousing', 'mondays', 'weekends', 'invisible', 'enchanting', 'heathen']","['i am not going to get into saturday night all im going to say is i once again went home sat with billy for a bit then went to bed feeling alone wasted not in the good way and abandoned', 'i spent saturday night and all of sunday feeling pretty lousy', 'i can guarantee that mondays won t feel half as dull when you prepare yourself for them with an enchanting sunday filled with good food big smiles and simple pleasures']"
